id	timestamp_issued	timestamp_answer	valence	arousal	valence_slider_initial	arousal_slider_initial	input_method	date	day	beep
14	2020-03-28T19:23:25Z	2020-03-28T19:23:33Z	33	10	33	68	App	2020-03-28	1	NA
14	2020-03-28T21:10:58Z	2020-03-28T21:56:26Z	41	12	-8	12	App	2020-03-28	1	NA
14	2020-03-29T05:31:43Z	2020-03-29T07:00:36Z	45	16	35	44	App	2020-03-29	2	NA
14	2020-03-29T08:16:10Z	2020-03-29T08:26:59Z	40	14	-35	14	App	2020-03-29	2	NA
14	2020-03-29T11:55:14Z	2020-03-29T13:18:38Z	48	7	-47	50	App	2020-03-29	2	NA
14	2020-03-29T14:13:52Z	2020-03-29T14:50:06Z	46	13	46	57	App	2020-03-29	2	NA
14	2020-03-29T17:42:00Z	2020-03-29T17:42:09Z	32	14	-28	2	App	2020-03-29	2	NA
14	2020-03-29T20:10:07Z	2020-03-29T20:56:44Z	36	25	-23	30	App	2020-03-29	2	NA
14	2020-03-30T05:31:22Z	2020-03-30T07:05:05Z	27	20	-44	26	App	2020-03-30	3	NA
14	2020-03-30T08:17:26Z	2020-03-30T09:18:42Z	35	24	42	24	App	2020-03-30	3	NA
14	2020-03-30T11:55:28Z	2020-03-30T12:17:02Z	37	22	47	44	App	2020-03-30	3	NA
14	2020-03-30T14:24:42Z	2020-03-30T14:25:05Z	31	17	-39	26	App	2020-03-30	3	NA
14	2020-03-30T17:42:00Z	2020-03-30T17:42:13Z	39	10	-1	76	App	2020-03-30	3	NA
14	2020-03-30T20:09:01Z	2020-03-30T21:38:00Z	41	15	17	63	App	2020-03-30	3	NA
14	2020-03-31T06:24:47Z	2020-03-31T06:25:52Z	45	10	-9	70	App	2020-03-31	4	NA
14	2020-03-31T11:56:53Z	2020-03-31T12:26:54Z	38	7	38	90	App	2020-03-31	4	NA
14	2020-03-31T14:12:00Z	2020-03-31T14:20:05Z	41	19	-43	50	App	2020-03-31	4	NA
14	2020-03-31T18:16:21Z	2020-03-31T18:48:16Z	45	11	4	14	App	2020-03-31	4	NA
14	2020-03-31T20:09:04Z	2020-03-31T20:29:19Z	41	30	-41	96	App	2020-03-31	4	NA
14	2020-04-01T08:14:23Z	2020-04-01T09:08:29Z	32	32	32	8	App	2020-04-01	5	NA
14	2020-04-01T11:55:11Z	2020-04-01T12:04:56Z	49	16	16	64	App	2020-04-01	5	NA
14	2020-04-01T20:09:55Z	2020-04-01T21:48:34Z	29	35	13	23	App	2020-04-01	5	NA
14	2020-04-02T07:08:30Z	2020-04-02T07:50:33Z	41	16	4	68	App	2020-04-02	6	NA
14	2020-04-02T17:42:03Z	2020-04-02T18:10:14Z	49	70	49	77	App	2020-04-02	6	NA
14	2020-04-02T20:09:00Z	2020-04-02T20:13:08Z	24	23	24	37	App	2020-04-02	6	NA
14	2020-04-03T06:43:26Z	2020-04-03T07:27:52Z	37	19	37	83	App	2020-04-03	7	NA
14	2020-04-03T14:15:29Z	2020-04-03T14:25:35Z	34	12	34	57	App	2020-04-03	7	NA
14	2020-04-03T17:42:14Z	2020-04-03T17:50:33Z	50	25	-31	68	App	2020-04-03	7	NA
14	2020-04-04T08:14:34Z	2020-04-04T08:45:42Z	46	31	12	73	App	2020-04-04	8	NA
14	2020-04-04T17:42:15Z	2020-04-04T17:52:03Z	50	24	-18	24	App	2020-04-04	8	NA
14	2020-04-04T20:09:48Z	2020-04-04T20:30:32Z	40	12	-33	45	App	2020-04-04	8	NA
14	2020-04-05T08:15:00Z	2020-04-05T08:23:30Z	50	11	-18	53	App	2020-04-05	9	NA
14	2020-04-05T14:12:56Z	2020-04-05T14:29:28Z	50	29	9	69	App	2020-04-05	9	NA
14	2020-04-05T17:42:59Z	2020-04-05T18:06:35Z	49	33	-31	92	App	2020-04-05	9	NA
14	2020-04-05T20:09:00Z	2020-04-05T20:25:48Z	37	21	-11	45	App	2020-04-05	9	NA
14	2020-04-06T08:16:42Z	2020-04-06T08:17:40Z	44	25	-30	26	App	2020-04-06	10	NA
14	2020-04-06T14:13:15Z	2020-04-06T14:15:41Z	47	12	-25	68	App	2020-04-06	10	NA
14	2020-04-06T20:09:21Z	2020-04-06T20:14:56Z	39	17	0	50	App	2020-04-06	10	NA
14	2020-04-07T08:14:29Z	2020-04-07T08:18:45Z	43	17	0	50	App	2020-04-07	11	NA
14	2020-04-07T11:55:00Z	2020-04-07T11:55:15Z	41	27	0	50	App	2020-04-07	11	NA
14	2020-04-07T14:12:21Z	2020-04-07T14:29:59Z	45	29	0	50	App	2020-04-07	11	NA
14	2020-04-07T17:43:35Z	2020-04-07T17:44:08Z	41	32	0	50	App	2020-04-07	11	NA
14	2020-04-07T20:09:00Z	2020-04-07T20:18:35Z	43	12	0	50	App	2020-04-07	11	NA
14	2020-04-08T05:33:38Z	2020-04-08T06:33:43Z	36	24	0	50	App	2020-04-08	12	NA
14	2020-04-08T14:12:17Z	2020-04-08T14:26:39Z	43	19	0	50	App	2020-04-08	12	NA
14	2020-04-08T20:11:26Z	2020-04-08T21:06:27Z	38	29	0	50	App	2020-04-08	12	NA
14	2020-04-09T11:58:40Z	2020-04-09T12:23:18Z	42	32	0	50	App	2020-04-09	13	NA
14	2020-04-09T14:25:52Z	2020-04-09T15:12:19Z	37	32	0	50	App	2020-04-09	13	NA
14	2020-04-09T20:09:00Z	2020-04-09T20:09:08Z	46	15	0	50	App	2020-04-09	13	NA
14	2020-04-10T06:58:33Z	2020-04-10T06:59:47Z	44	11	0	50	App	2020-04-10	14	NA
14	2020-04-10T09:00:48Z	2020-04-10T09:09:06Z	35	32	0	50	App	2020-04-10	14	NA
14	2020-04-10T11:55:05Z	2020-04-10T12:03:52Z	50	21	0	50	App	2020-04-10	14	NA
14	2020-04-10T14:13:27Z	2020-04-10T14:13:43Z	48	9	0	50	App	2020-04-10	14	NA
14	2020-04-10T19:10:17Z	2020-04-10T20:29:47Z	43	21	0	50	App	2020-04-10	14	NA
14	2020-04-10T20:22:35Z	2020-04-10T20:29:54Z	34	23	0	50	App	2020-04-10	14	NA
14	2020-04-11T08:15:27Z	2020-04-11T08:32:19Z	37	34	0	50	App	2020-04-11	15	NA
14	2020-04-11T11:55:00Z	2020-04-11T12:17:17Z	44	28	0	50	App	2020-04-11	15	NA
14	2020-04-11T14:23:05Z	2020-04-11T14:31:35Z	50	12	0	50	App	2020-04-11	15	NA
14	2020-04-11T17:42:26Z	2020-04-11T17:48:36Z	44	8	0	50	App	2020-04-11	15	NA
14	2020-04-11T20:13:14Z	2020-04-11T20:27:11Z	36	10	0	50	App	2020-04-11	15	NA
14	2020-04-12T05:33:32Z	2020-04-12T06:28:22Z	39	37	0	50	App	2020-04-12	16	NA
14	2020-04-12T08:29:14Z	2020-04-12T08:41:59Z	35	24	0	50	App	2020-04-12	16	NA
14	2020-04-12T11:57:54Z	2020-04-12T12:21:41Z	40	0	0	50	App	2020-04-12	16	NA
14	2020-04-13T05:30:46Z	2020-04-13T06:29:22Z	25	16	0	50	App	2020-04-13	17	NA
14	2020-04-13T08:18:54Z	2020-04-13T08:53:29Z	38	14	0	50	App	2020-04-13	17	NA
14	2020-04-13T14:13:33Z	2020-04-13T14:14:07Z	42	7	0	50	App	2020-04-13	17	NA
14	2020-04-14T06:33:34Z	2020-04-14T06:35:13Z	42	13	0	50	App	2020-04-14	18	NA
14	2020-04-14T08:23:38Z	2020-04-14T08:23:50Z	36	12	0	50	App	2020-04-14	18	NA
14	2020-04-14T11:56:11Z	2020-04-14T11:57:11Z	43	12	0	50	App	2020-04-14	18	NA
14	2020-04-14T14:20:10Z	2020-04-14T14:21:52Z	42	14	0	50	App	2020-04-14	18	NA
14	2020-04-14T17:42:02Z	2020-04-14T18:18:45Z	49	6	0	50	App	2020-04-14	18	NA
14	2020-04-14T20:10:08Z	2020-04-14T20:15:48Z	44	7	0	50	App	2020-04-14	18	NA
14	2020-04-15T07:53:17Z	2020-04-15T07:56:47Z	39	25	0	50	App	2020-04-15	19	NA
14	2020-04-15T08:14:26Z	2020-04-15T08:48:26Z	47	13	0	50	App	2020-04-15	19	NA
14	2020-04-15T14:34:07Z	2020-04-15T14:40:59Z	42	27	0	50	App	2020-04-15	19	NA
14	2020-04-16T08:14:29Z	2020-04-16T08:27:58Z	40	23	0	50	App	2020-04-16	20	NA
14	2020-04-16T11:55:32Z	2020-04-16T11:55:39Z	30	30	8	90	App	2020-04-16	20	NA
14	2020-04-16T14:12:11Z	2020-04-16T14:51:43Z	50	32	22	4	App	2020-04-16	20	NA
14	2020-04-16T17:43:09Z	2020-04-16T18:08:26Z	38	19	-27	19	App	2020-04-16	20	NA
14	2020-04-16T20:09:00Z	2020-04-16T20:09:07Z	37	4	-34	4	App	2020-04-16	20	NA
14	2020-04-17T08:36:09Z	2020-04-17T08:51:04Z	48	5	-42	41	App	2020-04-17	21	NA
14	2020-04-17T18:21:12Z	2020-04-17T19:38:41Z	47	16	24	37	App	2020-04-17	21	NA
14	2020-04-17T20:09:00Z	2020-04-17T20:50:15Z	34	19	-42	40	App	2020-04-17	21	NA
14	2020-04-18T08:25:26Z	2020-04-18T08:25:43Z	39	18	-42	39	App	2020-04-18	22	NA
14	2020-04-18T14:31:34Z	2020-04-18T14:32:46Z	47	2	24	84	App	2020-04-18	22	NA
14	2020-04-19T12:27:33Z	2020-04-19T12:32:28Z	38	17	38	72	App	2020-04-19	23	NA
14	2020-04-19T17:45:52Z	2020-04-19T18:04:14Z	36	8	-36	8	App	2020-04-19	23	NA
14	2020-04-19T20:09:00Z	2020-04-19T20:13:07Z	47	15	47	100	App	2020-04-19	23	NA
14	2020-04-20T06:42:36Z	2020-04-20T06:42:56Z	50	28	0	50	App	2020-04-20	24	NA
14	2020-04-20T08:14:37Z	2020-04-20T08:58:39Z	43	31	-2	81	App	2020-04-20	24	NA
14	2020-04-20T11:55:02Z	2020-04-20T12:11:38Z	46	12	20	56	App	2020-04-20	24	NA
14	2020-04-20T16:03:12Z	2020-04-20T16:51:42Z	32	29	32	29	App	2020-04-20	24	NA
14	2020-04-20T17:44:48Z	2020-04-20T17:54:17Z	40	11	-50	19	App	2020-04-20	24	NA
14	2020-04-20T20:12:05Z	2020-04-20T20:14:19Z	27	27	27	71	App	2020-04-20	24	NA
