id	ses	age	trait_avoidance	trait_anxiety	trait_neuroticism
1	1	30	2.16666666666667	2.72222222222222	2.88888888888889
2	0.666666666666667	41	2.5	2.05555555555556	3.77777777777778
3	1	20	3.66666666666667	3.55555555555556	2.77777777777778
4	1	22	3.44444444444444	3.22222222222222	2
5	0.666666666666667	19	3.61111111111111	3.5	2.77777777777778
6	0.708333333333333	26	2.22222222222222	3.11111111111111	3
7	1	21	3	4.38888888888889	2.66666666666667
8	0.833333333333333	34	4.88888888888889	5.38888888888889	3.66666666666667
11	0.833333333333333	29	2.05555555555556	3.72222222222222	2.33333333333333
12	0.708333333333333	23	2.77777777777778	5.22222222222222	2.88888888888889
13	1	22	1.83333333333333	2.33333333333333	3
14	1	21	3.38888888888889	3.77777777777778	2.22222222222222
15	0.666666666666667	22	2.77777777777778	4.77777777777778	4.11111111111111
16	1	44	1.77777777777778	1.61111111111111	2.44444444444444
17	0.541666666666667	19	3.44444444444444	2.94444444444444	3.55555555555556
18	0.833333333333333	19	1.94444444444444	2.5	2.77777777777778
19	0.833333333333333	42	3.44444444444444	4.11111111111111	2
20	0.541666666666667	19	1.77777777777778	1.72222222222222	1.88888888888889
22	0.666666666666667	21	1.77777777777778	2.38888888888889	2
23	0.833333333333333	31	2.27777777777778	4.11111111111111	2.44444444444444
24	0.541666666666667	22	2.55555555555556	3.16666666666667	2.22222222222222
25	0.708333333333333	22	3.94444444444444	3.77777777777778	3.22222222222222
26	0.666666666666667	22	2	3.22222222222222	3.22222222222222
27	1	28	1.88888888888889	1.11111111111111	2.44444444444444
28	0.666666666666667	47	1.88888888888889	1.16666666666667	1.88888888888889
29	0.708333333333333	22	1.94444444444444	2.05555555555556	2
30	0.708333333333333	21	2.88888888888889	1.55555555555556	2.55555555555556
31	0.375	40	1.38888888888889	2.94444444444444	3.77777777777778
32	1	23	2.94444444444444	3.66666666666667	2.88888888888889
33	0.833333333333333	52	3	1.44444444444444	2.44444444444444
34	0.666666666666667	44	3.05555555555556	5.22222222222222	2.77777777777778
35	0.375	24	1.94444444444444	3.66666666666667	3.88888888888889
36	1	20	4	4.05555555555556	3.44444444444444
37	0.666666666666667	21	2	3.55555555555556	2.11111111111111
38	0.125	33	2.27777777777778	2.33333333333333	2.55555555555556
40	0.583333333333333	20	3.77777777777778	5.55555555555556	3.88888888888889
41	0.666666666666667	20	1.72222222222222	2.61111111111111	2.44444444444444
42	0.666666666666667	43	1.83333333333333	2	2
43	0.708333333333333	26	2	2.05555555555556	2.44444444444444
44	0.833333333333333	24	2.83333333333333	2	2.11111111111111
45	0.833333333333333	27	2.05555555555556	3.83333333333333	3
46	0.708333333333333	19	3.83333333333333	4.22222222222222	3.88888888888889
47	1	36	1.11111111111111	1.66666666666667	2.44444444444444
48	1	22	4.66666666666667	2.05555555555556	2.77777777777778
49	0.708333333333333	21	2.44444444444444	4.66666666666667	3.55555555555556
50	0.666666666666667	23	1.88888888888889	3.94444444444444	2.11111111111111
51	0.666666666666667	33	2.38888888888889	2.27777777777778	2.66666666666667
52	1	22	4.16666666666667	4.72222222222222	4
53	1	27	1.77777777777778	1.33333333333333	1.66666666666667
54	0.25	26	2.44444444444444	4.33333333333333	3.77777777777778
55	1	23	3.05555555555556	2.61111111111111	3.11111111111111
56	0.666666666666667	20	3.94444444444444	4.22222222222222	2.66666666666667
57	0.833333333333333	22	4.22222222222222	4.61111111111111	3.33333333333333
