id	week	day	well	awake	relaxed	pleased	bold	energetic	extraverted	talkative	study_burden	study_interfere	study_annoy	time001	good	calm	rested	happy	not_shy	envious	compliance	flag	quiet	bashful	withdrawn	careless	disorganized	inefficient	sloppy	unsympathetic	harsh	relaxed_personality	rude	uncreative	unintellectual	cold	beep
DYOMK	2	12	5	3	5	5	3	1	2	2	4	2	5	1	3	3	5	4	4	4	1	0	3	1	2	4	4	3	2	2	4	4	2	3	2	2	NA
KJLNN	2	12	5	3	5	4	1	1	1	1	2	3	4	3	5	5	3	4	5	1	1	0	5	1	1	3	1	1	1	1	1	5	1	3	1	1	NA
UJQMP	2	12	4	3	4	4	2	2	2	2	1	2	1	2	4	5	3	4	4	2	1	0	4	1	3	3	4	2	2	2	1	4	1	4	2	2	NA
GMVMY	2	12	5	4	4	4	2	2	2	2	2	2	2	24	4	5	4	4	3	1	1	0	4	2	3	3	1	2	1	1	1	3	1	5	2	1	NA
IYHCL	2	12	6	3	6	6	3	4	3	4	2	3	5	1	5	5	5	6	5	5	1	0	3	1	2	2	1	2	1	1	2	3	1	3	2	1	NA
ANIOR	2	12	7	5	7	7	2	3	3	5	2	1	1	2	6	7	6	7	5	1	1	0	5	1	1	5	1	1	1	1	1	5	1	2	1	1	NA
HBTLE	2	12	6	6	6	6	1	4	4	4	1	1	1	2	6	6	6	6	5	1	1	0	4	1	1	4	2	1	2	1	1	4	1	1	1	1	NA
INSKN	2	12	6	2	6	5	3	3	3	1	4	3	3	2	6	5	4	6	3	3	1	0	4	3	3	3	3	3	3	3	3	3	3	3	3	2	NA
SPBNY	1	5	6	4	6	6	5	5	5	4	1	3	1	2	5	5	5	5	5	1	1	0	5	1	1	4	1	1	1	1	1	5	1	1	1	3	NA
PBFQT	1	5	6	6	5	6	4	3	4	4	1	1	2	29	6	4	6	6	5	1	1	0	2	1	1	4	2	2	2	1	3	2	1	3	2	2	NA
YSFJX	2	12	6	2	6	6	1	1	3	3	2	2	1	1	5	6	3	6	5	1	1	0	5	1	2	4	1	1	1	1	1	5	1	1	1	1	NA
DLHQH	2	12	6	5	5	6	1	2	2	2	3	4	3	5	6	6	5	5	5	1	1	0	5	2	3	4	2	2	1	1	1	4	1	4	2	2	NA
CWJWE	2	9	5	5	4	5	3	2	3	4	1	1	1	27	5	5	4	5	5	1	1	0	3	1	2	2	4	1	1	1	4	3	1	2	1	3	NA
FWRER	2	12	3	2	5	3	1	1	1	1	2	4	2	3	3	5	3	3	5	1	1	0	4	1	4	1	1	4	1	1	1	1	1	1	1	1	NA
GEVEA	1	5	5	3	4	4	2	3	2	1	2	2	2	4	4	4	3	4	4	1	1	0	4	2	3	2	2	5	3	2	2	2	2	2	3	2	NA
PZVBU	1	5	3	3	3	2	2	2	2	2	3	3	3	2	3	4	3	4	4	4	1	0	3	2	3	3	4	5	2	3	2	3	2	4	4	3	NA
ZABYA	1	5	6	2	2	6	3	4	4	4	4	3	2	91	6	3	3	6	4	1	1	0	2	2	2	3	2	2	1	1	1	3	1	3	2	3	NA
MXDGL	1	5	1	6	2	1	4	5	1	1	1	2	1	2	1	2	5	1	5	5	1	0	1	1	1	1	1	1	1	3	2	1	3	1	1	4	NA
LZEBM	2	12	7	7	6	6	3	3	4	3	2	2	2	1	7	6	6	7	5	1	1	0	4	2	2	2	4	3	1	2	2	4	1	4	1	1	NA
LDDMN	2	13	7	3	3	6	3	2	4	4	2	3	2	269	7	6	3	6	5	1	1	0	3	1	2	2	3	3	1	2	1	4	1	1	3	2	NA
UZUBZ	2	13	5	1	3	5	1	3	2	1	2	4	2	16	5	6	2	5	3	1	1	0	4	4	4	3	4	4	4	1	2	3	2	3	1	4	NA
UOZRZ	2	13	7	7	7	6	1	5	5	5	1	1	1	1	7	7	6	6	5	1	1	0	1	1	1	5	1	5	1	1	1	5	1	2	1	1	NA
ZABYA	1	6	6	3	6	5	3	2	2	5	2	4	2	5	6	5	4	6	4	1	1	0	4	2	2	2	2	2	1	1	1	4	1	3	2	2	NA
UJQMP	2	13	5	2	5	5	3	3	2	3	1	4	1	2	5	5	3	5	5	1	1	0	4	1	3	3	3	3	1	1	1	4	1	4	3	2	NA
KJLNN	2	13	4	3	3	4	1	1	1	2	3	4	5	2	4	3	3	4	5	1	1	0	4	1	1	3	1	1	1	1	1	2	1	3	1	1	NA
FWRER	2	13	5	2	4	4	1	1	1	1	1	2	3	4	5	4	2	4	5	1	1	0	4	1	3	1	1	4	1	1	1	3	1	1	1	1	NA
GRJMV	2	13	3	1	4	4	1	1	1	1	4	5	4	16	4	4	2	4	5	3	1	0	5	1	4	3	1	1	1	1	1	3	1	4	1	1	NA
ANIOR	2	13	6	7	7	7	1	3	2	4	1	1	1	2	7	7	7	6	5	1	1	0	5	1	2	5	1	1	1	1	1	5	1	1	1	1	NA
XEVXX	2	13	6	5	6	6	2	2	3	4	2	2	1	6	6	6	6	6	4	1	1	0	3	1	2	3	3	2	1	1	1	4	1	3	4	2	NA
GEVEA	1	6	4	4	4	5	2	2	2	2	3	4	3	5	5	4	5	4	4	1	1	0	4	2	3	3	3	4	3	2	2	3	2	2	3	2	NA
GMVMY	2	13	5	4	5	4	3	3	3	2	3	3	3	49	4	4	5	4	4	1	1	0	4	3	4	4	1	2	1	1	1	4	1	5	1	1	NA
PZVBU	1	6	5	5	4	5	2	2	2	2	2	3	3	2	5	5	5	5	4	2	1	0	3	2	3	4	3	3	2	2	2	3	2	2	2	3	NA
INSKN	2	13	6	2	6	5	3	3	3	2	4	3	3	9	5	6	5	6	3	3	1	0	3	3	2	2	2	3	3	2	3	3	2	3	3	3	NA
DYOMK	2	13	1	4	6	1	2	2	5	5	1	1	3	2	3	6	3	5	5	1	1	0	3	1	1	2	4	2	2	1	1	3	1	4	3	2	NA
LZEBM	2	13	7	6	6	6	3	3	3	4	2	3	2	17	7	6	6	6	5	2	1	0	4	1	1	4	1	2	1	1	1	5	1	4	1	1	NA
WXCZB	1	6	6	6	5	6	3	5	4	1	1	1	1	2	6	5	5	5	5	1	1	0	3	1	1	1	1	1	1	1	1	2	1	2	1	2	NA
HZCPE	2	13	3	3	3	3	3	2	1	1	3	3	1	1	3	3	3	3	1	1	1	0	2	4	5	1	3	4	1	1	1	1	1	3	4	2	NA
CWJWE	2	10	5	3	2	5	3	5	5	5	4	3	4	471	5	1	4	5	5	1	1	0	1	1	1	3	1	2	1	2	5	1	4	1	2	4	NA
MXDGL	1	6	6	6	6	7	3	3	3	4	4	4	3	12	5	6	6	7	5	3	1	0	2	1	2	4	1	1	1	1	1	3	1	1	1	1	NA
YSFJX	2	13	3	4	2	3	1	1	1	2	2	1	1	2	4	2	5	5	4	1	1	0	1	3	5	1	1	1	1	1	1	1	1	1	1	1	NA
NRWUO	2	13	2	5	2	2	2	2	1	2	2	4	3	2	2	5	3	1	5	4	1	0	4	4	4	1	2	5	1	3	2	3	2	1	1	3	NA
HBTLE	2	13	6	6	6	6	3	4	1	3	2	3	5	1	6	6	6	6	5	1	1	0	1	1	1	3	1	4	2	2	1	4	1	2	1	1	NA
IYHCL	2	13	6	2	6	5	2	2	2	3	4	5	4	1	5	5	2	6	4	2	1	0	5	2	4	3	2	2	1	2	1	4	2	3	2	2	NA
PBFQT	1	6	6	3	5	5	1	1	1	1	2	1	2	1	5	5	4	5	5	1	1	0	5	1	1	4	4	5	1	1	1	5	1	4	2	1	NA
UZUBZ	2	14	5	2	3	6	2	2	3	2	2	2	1	1718	5	6	2	5	3	1	1	0	4	4	4	3	4	4	4	2	2	2	2	2	2	2	NA
LDDMN	2	14	7	7	7	7	2	3	5	5	2	4	3	1646	6	6	5	5	5	2	1	0	5	1	2	3	2	4	1	2	1	4	2	2	2	2	NA
LZEBM	2	14	7	7	6	7	3	4	5	4	1	2	2	2	7	6	7	7	5	1	1	0	3	1	2	4	4	4	1	1	4	4	1	1	1	1	NA
KJLNN	2	14	3	3	3	3	1	1	1	2	3	3	5	3	4	2	3	4	5	1	1	0	4	1	1	2	1	1	1	1	1	2	1	1	1	1	NA
HBTLE	2	14	7	5	6	6	4	4	1	3	1	3	1	1	7	5	5	7	5	1	1	0	4	1	1	3	1	3	1	1	1	4	3	1	1	1	NA
ZVECN	2	14	4	1	5	4	1	2	1	2	4	1	4	2	4	5	1	4	3	1	1	0	4	4	3	2	4	5	3	2	1	4	1	4	3	1	NA
SPBNY	1	7	6	5	5	5	3	4	3	4	1	1	1	3	5	5	5	5	5	1	1	0	4	2	1	4	1	2	1	1	1	5	1	1	1	2	NA
NRWUO	2	14	6	2	7	6	2	4	2	3	2	3	3	7	5	7	3	5	5	1	1	0	4	1	3	4	2	1	2	3	3	4	2	1	1	1	NA
ANIOR	2	14	7	6	7	7	2	3	3	4	1	1	1	2	7	7	6	7	5	1	1	0	5	1	2	5	1	1	1	1	1	5	1	2	1	1	NA
GMVMY	2	14	4	4	3	3	2	3	1	2	3	2	1	10	4	5	4	4	3	1	1	0	4	1	3	4	1	4	1	1	1	3	1	5	3	1	NA
PBFQT	1	7	5	5	5	5	4	2	2	3	2	2	2	1	5	5	4	5	4	2	1	0	3	1	2	3	2	2	1	1	2	4	1	3	2	2	NA
INSKN	2	14	6	6	6	5	3	4	4	4	3	3	3	12	6	5	5	5	4	3	1	0	4	4	2	4	2	2	2	2	2	3	3	3	2	2	NA
ZABYA	1	7	6	3	6	5	3	2	2	2	2	2	1	28	6	6	3	5	3	1	1	0	4	1	3	2	2	4	1	2	1	4	2	1	2	2	NA
YSFJX	2	14	5	2	4	4	1	1	1	3	1	3	1	4	5	4	3	5	5	1	1	0	4	3	4	1	1	1	1	1	1	1	1	1	1	1	NA
FWRER	2	14	4	3	4	4	1	1	1	1	1	3	4	2	4	4	4	4	5	1	1	0	4	1	1	1	1	5	1	1	1	2	1	1	1	1	NA
GEVEA	1	7	3	5	3	4	3	3	2	1	3	4	3	3	3	3	4	4	4	1	1	0	3	2	2	2	2	2	2	2	3	3	2	2	3	2	NA
PZVBU	1	7	5	3	5	5	3	2	3	2	2	2	3	2	5	4	3	4	4	1	1	0	2	2	3	4	3	4	2	2	2	3	2	2	2	3	NA
CWJWE	2	11	1	6	2	1	4	1	1	1	4	3	5	1	1	3	4	1	5	1	1	0	5	1	5	1	5	5	2	3	5	1	2	5	3	4	NA
MXDGL	1	7	7	6	6	6	1	2	3	4	3	4	3	7	6	6	5	7	5	3	1	0	4	1	1	3	1	1	1	1	1	4	1	1	1	1	NA
IYHCL	2	14	3	2	4	4	2	1	1	2	3	2	2	2	2	6	2	4	5	3	1	0	4	1	2	2	3	5	1	2	1	4	1	2	2	2	NA
WXCZB	1	7	7	5	7	5	2	4	4	5	1	1	1	2	6	6	4	6	5	1	1	0	4	1	1	3	1	3	1	1	1	4	1	1	1	2	NA
HZCPE	2	14	4	3	4	4	1	1	1	1	1	2	1	2	5	6	3	4	3	1	1	0	5	1	5	2	2	3	1	1	1	3	1	3	3	1	NA
GRJMV	2	14	4	3	2	4	3	5	3	4	4	5	4	7	4	2	4	4	5	1	1	0	1	3	2	1	1	1	1	1	3	1	1	1	1	1	NA
UOZRZ	2	14	3	6	3	2	1	3	5	3	1	1	1	1	3	6	7	2	5	1	1	0	1	1	1	3	1	2	1	1	1	3	1	1	1	1	NA
DLHQH	2	14	5	2	4	4	1	1	2	3	2	2	2	2	5	6	2	4	4	2	1	0	5	1	2	2	2	1	1	1	1	4	2	4	2	2	NA
CWJWE	2	12	5	4	4	5	3	2	3	3	1	3	4	1	5	6	4	5	4	1	1	0	4	1	3	5	3	3	2	1	4	4	1	3	2	2	NA
SPBNY	2	8	6	4	6	5	4	4	4	5	1	2	1	41	5	5	4	5	5	1	1	0	4	1	2	1	1	1	1	1	1	3	1	1	1	1	NA
ZABYA	2	8	6	3	5	6	3	2	2	2	1	2	2	5	6	5	5	6	3	1	1	0	4	2	3	3	2	3	1	1	1	4	1	4	1	2	NA
WXCZB	2	8	5	4	5	5	1	3	5	5	1	1	1	2	4	5	4	5	5	1	1	0	4	1	1	3	2	2	1	1	1	4	1	1	1	1	NA
PZVBU	2	8	3	3	3	3	2	3	3	2	2	2	3	2	4	3	4	3	3	2	1	0	3	2	3	3	3	4	2	2	2	4	2	4	3	3	NA
GEVEA	2	8	5	4	4	5	3	4	2	2	3	4	3	3	5	5	4	4	4	1	1	0	3	2	2	3	2	2	2	2	2	3	2	3	3	2	NA
MXDGL	2	8	6	3	6	6	2	2	3	2	3	3	3	2	6	6	4	6	5	4	1	0	4	1	1	2	1	1	1	1	1	3	1	1	1	1	NA
PBFQT	2	8	5	5	5	5	3	2	2	4	2	3	2	1	5	5	5	5	5	1	1	0	3	1	2	4	2	3	1	2	2	3	1	1	1	1	NA
PZVBU	2	9	5	5	5	6	4	4	3	2	1	3	3	3	6	5	6	6	3	2	1	0	3	3	2	4	2	1	2	2	1	3	2	2	2	1	NA
WXCZB	2	9	6	4	6	5	2	3	4	5	1	1	1	2	5	5	4	5	3	1	1	0	4	3	2	3	1	1	1	1	1	4	1	1	1	2	NA
GEVEA	2	9	4	4	3	4	3	3	2	2	3	4	3	6	4	4	4	4	4	1	1	0	3	2	2	2	3	2	2	2	3	2	1	3	3	3	NA
SPBNY	2	9	3	3	4	3	3	2	3	3	1	1	1	19	4	4	2	4	5	1	1	0	3	2	4	2	2	4	2	1	1	3	1	2	1	2	NA
ZABYA	2	9	5	2	6	5	3	4	4	4	3	3	2	5	6	6	3	6	4	1	1	0	2	3	2	4	2	2	1	1	1	4	2	2	2	3	NA
CWJWE	2	13	3	1	4	3	2	2	2	2	3	2	4	3	3	3	2	3	5	1	1	0	4	1	5	3	5	5	5	1	1	2	1	5	3	3	NA
MXDGL	2	9	6	5	6	6	3	3	3	5	3	4	2	2	6	6	5	6	5	5	1	0	3	1	1	3	1	1	1	1	1	4	2	1	1	1	NA
PBFQT	2	9	5	5	5	5	3	2	2	3	2	3	2	2	5	5	5	5	4	1	1	0	3	2	2	2	2	1	1	2	2	3	1	3	1	3	NA
GEVEA	2	10	2	5	3	3	2	2	2	2	3	4	3	4	3	3	4	4	4	3	1	0	3	2	2	1	3	2	2	3	3	2	1	1	3	2	NA
SPBNY	2	10	6	4	6	5	3	3	3	3	1	1	1	2	5	5	3	5	5	1	1	0	4	1	5	3	2	2	1	1	1	4	1	2	1	2	NA
ZABYA	2	10	6	2	6	6	3	2	3	4	2	1	2	4	6	4	3	6	3	1	1	0	4	3	4	4	2	2	2	2	1	4	2	2	4	2	NA
WXCZB	2	10	5	3	4	4	1	2	3	2	1	1	1	1	5	5	4	4	5	1	1	0	3	2	3	2	1	1	1	1	1	3	1	1	1	1	NA
PZVBU	2	10	3	2	2	3	1	1	1	1	2	1	3	2	4	3	2	4	3	2	1	0	3	3	2	4	2	4	2	2	2	3	2	3	2	1	NA
PBFQT	2	10	5	5	4	5	2	2	1	3	3	3	2	1	5	5	5	5	5	1	1	0	4	1	2	2	2	2	1	1	1	3	1	3	1	3	NA
CWJWE	2	14	5	5	5	5	2	2	3	4	1	4	3	2	6	6	5	5	5	1	1	0	4	1	3	4	2	3	3	1	1	4	1	3	2	1	NA
MXDGL	2	10	6	6	5	5	4	3	3	4	3	4	3	2	6	4	4	5	5	4	1	0	4	1	1	2	1	1	1	1	1	4	1	1	1	1	NA
SPBNY	2	11	5	3	5	5	4	4	4	4	1	1	1	5	5	5	5	5	5	1	1	0	3	1	1	1	1	2	1	1	1	4	1	1	1	2	NA
PBFQT	2	11	5	5	5	5	3	2	2	3	3	3	2	2	5	5	5	5	4	2	1	0	3	1	2	2	2	3	2	1	2	3	1	4	2	2	NA
WXCZB	2	11	4	3	4	4	1	3	3	4	1	1	1	2	4	5	4	4	5	1	1	0	2	1	1	3	3	1	1	1	1	3	1	1	1	1	NA
GEVEA	2	11	4	4	4	4	2	3	2	2	2	2	3	10	4	4	4	4	4	2	1	0	3	2	3	3	3	2	2	2	2	3	2	2	3	1	NA
ZABYA	2	11	5	3	5	5	2	2	2	1	3	1	2	1	4	5	5	5	4	1	1	0	5	2	3	4	3	2	1	1	1	4	1	3	1	2	NA
MXDGL	2	11	7	5	6	7	2	3	3	5	3	3	3	2	7	7	5	7	5	2	1	0	4	1	2	4	1	1	1	1	1	4	1	1	1	1	NA
MXDGL	2	12	7	1	7	6	1	1	2	2	3	3	2	2	6	7	2	6	5	2	1	0	5	1	1	4	1	1	1	1	1	5	1	1	1	1	NA
ZABYA	2	12	5	3	5	5	3	2	1	1	2	1	3	8	5	5	5	5	2	1	1	0	4	4	4	3	3	4	1	2	1	3	1	2	3	3	NA
PBFQT	2	12	5	3	5	5	1	2	1	2	2	3	3	3	5	5	5	5	5	2	1	0	3	1	3	2	1	3	2	1	1	3	1	4	1	1	NA
WXCZB	2	12	6	4	6	5	1	3	3	5	1	1	1	3	5	5	4	5	5	1	1	0	4	2	1	1	1	1	1	1	1	4	1	1	1	3	NA
GEVEA	2	12	3	4	3	4	2	4	2	1	3	4	3	4	4	3	4	4	4	3	1	0	2	2	3	2	2	2	2	2	4	2	2	2	3	3	NA
SPBNY	2	12	6	4	5	5	4	4	4	3	1	1	1	2	5	5	4	5	5	1	1	0	4	1	1	1	1	1	4	1	1	4	1	1	1	1	NA
PZVBU	2	12	6	3	6	3	3	3	2	1	2	4	3	2	4	4	4	4	3	2	1	0	3	2	3	3	3	4	3	2	1	4	2	2	2	2	NA
ZABYA	2	13	5	5	5	5	3	4	2	1	2	2	1	30	5	6	5	5	3	1	1	0	4	3	3	2	2	2	1	2	1	3	1	2	2	2	NA
PZVBU	2	13	6	1	5	5	3	1	2	1	4	2	3	2	5	3	1	4	3	2	1	0	3	2	3	3	2	2	2	2	2	3	3	3	2	3	NA
WXCZB	2	13	5	3	3	3	1	3	3	3	1	1	1	1	4	3	4	4	5	3	1	0	3	1	2	3	5	4	2	1	1	2	1	1	1	1	NA
SPBNY	2	13	6	3	6	5	3	3	4	3	1	1	1	27	5	5	3	5	5	1	1	0	4	1	4	4	1	1	1	1	1	4	1	1	1	1	NA
GEVEA	2	13	4	4	3	4	3	3	2	2	3	4	3	4	4	3	4	4	4	2	1	0	3	2	1	3	2	2	2	1	2	2	2	2	2	3	NA
GHFKT	2	13	7	7	7	7	3	5	5	5	1	2	1	3	7	3	7	7	4	1	1	0	2	3	1	4	4	3	1	1	1	4	1	1	1	1	NA
MXDGL	2	13	6	3	3	3	3	2	3	4	4	5	3	2	5	3	4	4	5	1	1	0	2	1	3	2	3	1	1	2	3	2	1	2	2	2	NA
ZABYA	2	14	6	4	6	6	3	2	2	2	1	1	1	72	6	6	6	6	3	1	1	0	4	2	4	4	4	4	1	1	1	4	1	2	2	4	NA
PZVBU	2	14	3	3	3	3	2	2	2	3	2	3	3	2	3	3	3	3	3	3	1	0	3	3	3	3	2	4	2	2	2	2	2	2	2	1	NA
MXDGL	2	14	6	6	5	6	2	3	3	3	2	3	2	2	6	5	6	6	5	2	1	0	4	1	1	2	1	1	1	1	1	3	1	1	1	1	NA
GEVEA	2	14	3	4	4	4	2	3	3	1	3	3	3	6	4	3	4	4	4	3	1	0	3	2	1	3	2	4	4	2	3	2	2	2	3	1	NA
SPBNY	2	14	7	5	6	5	4	4	4	4	1	1	1	2	5	5	5	5	5	1	1	0	3	1	5	4	3	1	1	1	1	3	1	1	1	2	NA
PBFQT	2	14	6	5	5	3	1	1	1	3	1	1	2	2	4	5	5	4	5	2	1	0	4	1	1	1	1	2	2	2	1	3	1	3	1	1	NA
WXCZB	2	14	5	3	3	3	1	3	4	5	1	1	1	5	4	3	4	4	4	2	1	0	3	2	1	2	3	1	3	1	1	2	1	1	1	2	NA
QGROV	1	1	3	3	NA	NA	1	1	2	1	NA	NA	NA	7	4	3	NA	NA	3	2	1	0	2	2	3	1	2	4	1	1	NA	NA	NA	NA	NA	NA	NA
KHCUF	1	1	5	1	NA	NA	3	5	3	3	NA	NA	NA	2	6	5	NA	NA	4	1	1	0	3	2	2	4	1	1	1	1	NA	NA	NA	NA	NA	NA	NA
VEVFL	1	1	5	3	NA	NA	4	4	3	4	NA	NA	NA	3	5	4	NA	NA	5	1	1	0	2	2	3	2	2	1	1	2	NA	NA	NA	NA	NA	NA	NA
